id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
816;diplomat;He says "time is the hero's shield".;Diyor ki, "zaman kahramanların kalkanıdır.";Il dit que "le temps est le bouclier du héros".;Dice que "el tiempo es el escudo de los héroes".;「時間は英雄の盾なり」と申しております。;"시간은 영웅의 방패다"라고 말하는군요.;他说：“时间是英雄之盾”。;他說：“時間是英雄之盾”。;Er sagt: "Zeit ist der Schild des Helden.";Он говорит: «Время ― щит героя».;Dice : "il tempo è lo scudo dell'eroe".;Ele disse: "o tempo é o escudo do herói".;Tell him "space is the fool's sword";Ona, "uzay aptalın kılıcıdır" de;Dites-lui que "l'espace est l'épée de l'idiot".;Decidle que "el espacio es la espada del idiota".;「空間は愚者の剣なり」+と伝えよ;"우주는 멍청이의 검"이라 전해주게;告诉他“沉默是傻瓜的武器”;告訴他“沉默是傻瓜的武器”;"Raum ist das Schwert des Narren";Скажи ему: «Пространство ― меч дурака».;"Ditegli: "lo spazio è la spada del folle";Diga a ele: "o espaço é a espada do tolo";<i>For some reason, this reaction charmed the barbarian.</i>;<i>Her nedense, bu tepki barbarı memnun etti.</i>;<i>Bizarrement, le barbare est enchanté de votre réaction.</i>;<i>Por algún motivo, al bárbaro le ha encantado vuestra reacción.</i>;<i>その反応は、どういうわけか、+野人の男を大いに喜ばせた。</i>;<i>이유는 알 수 없으나, 그 반응을 보자 야만인이 좋아합니다.</i>;<i>（出于某些原因，野蛮人被这个反应逗乐了。）</i>;<i>（出於某些原因，野蠻人被這個反應逗樂了。）</i>;<i>Aus irgendeinem Grund gewinnt diese Reaktion den Barbaren für Euch.</i>;<i>По какой-то причине, эта реакция тронула душу варвара.</i>;<i>Per qualche motivo, questa reazione ha conquistato il barbaro.</i>;<i>Por algum motivo, essa reação encantou o bárbaro.</i>;Tell him "I'm defenseless";"Savunmam yok" de;Dites-lui que "je suis sans défense".;Decidle que "estoy indefenso".;「余は無防備だ」と+伝えよ;"나는 무방비하다"고 전해주게;告诉他“我非常无助”;告訴他“我非常無助”;Sagt: "Ich bin schutzlos";Скажи ему: «я беззащитен»;Ditegli: "Sono indifeso";Diga a ele que sou indefeso;<i><barbare> laughed, but it's a bit forced.</i>;<i><barbare> güldü ama biraz zorlama bir gülüştü.</i>;<i><barbare> rit, d'un rire forcé.</i>;<i><barbare> se ríe, pero de una manera muy forzada.</i>;<i><barbare>は、+やや白々しく笑った。</i>;<i><barbare>은(는) 웃었으나, 억지로 웃는 것 같아 보였습니다.</i>;<i><barbare>有点勉强地笑着。.</i>;<i><barbare>有點勉強地笑著。.</i>;<i><barbare> lacht, aber leicht gezwungen.</i>;<i><barbare> рассмеялся, но несколько натянуто.</i>;<i><barbare> ride, ma in modo forzato.</i>;<i><barbare> riu, mas um tanto forçado.</i>;
817;barbare;Igolo dal brezou. Shabale. <i>(he points at his face)</i> Shabale, shabale.;Igolo dal brezou. Shabale. <i>(kendi yüzüne işaret ediyor)</i> Shabale, shabale.;Igolo dal brezou. Shabale. <i>(il désigne son visage)</i> Shabale, shabale.;Igolo dal brezou. Shabale. <i>(señala su cara)</i> Shabale, shabale.;イゴロ、ダル、ブレゾウ。シャバレ。+<i>（男は、自分の顔を指さした）+シャバレ、シャバレ。</i>;이골로 달 브레조우. 샤발레. <i>(그가 자신의 얼굴을 가리킵니다)</i> 샤발레, 샤발레.;艾格罗 达尔 布瑞卓。沙贝尔。+<i>（他指着他的脸）</i>+沙贝尔，沙贝尔。;艾格羅 達爾 布瑞卓。沙貝爾。+<i>（他指著他的臉）</i>+沙貝爾，沙貝爾。;Igolo dal brezou. Shabale. <i>(er deutet auf sein Gesicht)</i> Shabale, shabale.;Иголо дал брезоу. Шабале. <i>(указывает на свое лицо)</i> Шабале, шабале.;Igolo dal brezou. Shabale. <i>(indica il suo volto)</i> Shabale, shabale.;Igolo dal brezou. Shabale. <i>(ele aponta para o próprio rosto)</i> Shabale, shabale.;<i>Grimace</i>;<i>Sert sert bak</i>;<i>Faire une grimace</i>;<i>Hacer una mueca</i>;<i>（顔をしかめる）</i>;<i>얼굴을 찡그린다</i>;<i>（扮鬼脸）</i>;<i>（扮鬼臉）</i>;<i>Grimasse schneiden</i>;<i>Скривить лицо</i>;<i>Fare una smorfia</i>;<i>Fazer careta</i>;;;;;;;;;;;;;<i>Look at <diplomat></i>;<i><diplomat> çevirisini bekle</i>;<i>Regarder <diplomat></i>;<i>Mirar a <diplomat></i>;<i>（<diplomat>+を見る）</i>;<i><diplomat>에게 무슨 말인지 묻는다</i>;<i>看<diplomat></i>;<i>看<diplomat></i>;<i><diplomat> ansehen</i>;<i>Посмотреть на <diplomat></i>;<i>Guardare <diplomat></i>;<i>Olhar para <diplomat></i>;;;;;;;;;;;;;
818;diplomat;He says that the mouse is orange.;Fare turuncu, diyor.;Il dit que la souris est orange.;Dice que el ratón es naranja.;「ネズミはオレンジだ」と申しております。;"쥐는 오렌지다"라고 말하는군요.;他说那老鼠是橙色的。;他說那老鼠是橙色的。;Er sagt, die Maus sei orange.;Он говорит, что мышь оранжевая.;Dice che il topo è arancione.;Ele disse que o rato é laranja.;<i>Sigh</i>;<i>İç çek</i>;<i>Soupir</i>;<i>Suspiro</i>;<i>（ため息をつく）</i>;<i>한숨을 쉰다</i>;<i>（叹气）</i>;<i>（歎氣）</i>;<i>Seufzen</i>;<i>Вздохнуть</i>;<i>Sigh</i>;<i>Suspiro</i>;<i>For some reason, this reaction charmed the barbarian.</i>;<i>Her nedense, bu tepki barbarı memnun etti.</i>;<i>Bizarrement, le barbare est enchanté de votre réaction.</i>;<i>Por algún motivo, al bárbaro le ha encantado vuestra reacción.</i>;<i>その反応は、どういうわけか、+野人の男を大いに喜ばせた。</i>;<i>이유는 알 수 없으나, 그 반응을 보자 야만인이 좋아합니다.</i>;<i>（出于某些原因，野蛮人被这个反应逗乐了。）</i>;<i>（出於某些原因，野蠻人被這個反應逗樂了。）</i>;<i>Aus irgendeinem Grund gewinnt diese Reaktion den Barbaren für Euch.</i>;<i>По какой-то причине, эта реакция тронула душу варвара.</i>;<i>Per qualche motivo, questa reazione ha conquistato il barbaro.</i>;<i>Por algum motivo, essa reação encantou o bárbaro.</i>;<i>Look at <diplomat></i>;<i><diplomat> çevirisini bekle</i>;<i>Regarder <diplomat></i>;<i>Mirar a <diplomat></i>;<i>（<diplomat>+を見る）</i>;<i><diplomat>을(를) 노려본다</i>;<i>看<diplomat></i>;<i>看<diplomat></i>;<i><diplomat> ansehen</i>;<i>Посмотреть на <diplomat></i>;<i>Guardare <diplomat></i>;<i>Olhar para <diplomat></i>;;;;;;;;;;;;;
819;barbare;Zgada.;Zgada.;Zgada.;Zgada.;ズガダ。;지가다.;扎格达。;紮格達。;Zgada.;Згада.;Zgada.;Zgada.;I...;Ben...;Je...;Yo...;あー…;그러니까...;我……;我……;Ich ...;Я…;Io…;Eu...;;;;;;;;;;;;;<i>Look at <diplomat></i>;<i><diplomat> çevirisini bekle</i>;<i>Regarder <diplomat></i>;<i>Mirar a <diplomat></i>;<i>（<diplomat>+を見る）</i>;<i><diplomat>에게 무슨 말인지 묻는다</i>;<i>看<diplomat></i>;<i>看<diplomat></i>;<i><diplomat> ansehen</i>;<i>Посмотреть на <diplomat></i>;<i>Guardare <diplomat></i>;<i>Olhar para <diplomat></i>;;;;;;;;;;;;;
820;diplomat;He says that he likes you and is willing to graciously offer his help.;Sizden hoşlandığını ve merhamet edip yardım sunmak istediğini söylüyor.;Il dit qu'il vous aime bien et qu'il est prêt à vous apporter son aide.;Dice que le gustáis y que está dispuesto a ayudaros.;この者が申すには…「陛下のことがとても+気に入ったので、いつでも力になろう」…;폐하가 마음에 들며, 언제든지 도와주겠다고 말합니다.;他说他喜欢你，+而且他想优雅地提供他的帮助。;他說他喜歡你，+而且他想優雅地提供他的幫助。;Er sagt, er mag Euch und will Euch gnädigerweise seine Hilfe anbieten.;Он говорит, вы ему нравитесь, и он готов милостиво предложить свою помощь.;Dice che Voi gli piacete ed è disposto a offrirvi cortesemente il suo aiuto.;Ele disse que gostou de você e está disposto a gentilmente oferecer ajuda.;All right;Pekala;Parfait;Perfecto;そうか…;그렇군...;好吧;好吧;Also gut;Хорошо;Va bene;Está bem;;;;;;;;;;;;;He said all that?;Hepsini birden mi söyledi?;Il a vraiment dit tout ça ?;¿De verdad ha dicho todo éso?;…今の一言で、+そんな意味になるのか？;정말로 그리 말했는가?;他说了这些?;他說了這些?;Er hat all das gesagt?;Он сейчас правда все это сказал?;Ha detto tutte queste cose?;Ele disse isso tudo?;;;;;;;;;;;;;
821;diplomat;I'm not finished. Each time a new war occurs, <barbare> may come and visit you to help. Should I accept?;Daha bitmedi. Ne zaman yeni savaş çıksa, <barbare> yardım etmek için gelip ziyaret edebilir. Kabul edeyim mi?;Ce n'est pas tout. Chaque fois qu'une guerre se déclarera, <barbare> viendra à votre secours. Êtes-vous d'accord ?;Eso no es todo. Cada vez que se declara una guerra, <barbare> ha de venir en vuestra ayuda. ¿Estáis de acuerdo?;まだ途中でございます。「新たな戦が起きた+あかつきには、この<barbare>が、+いつでも駆けつけよう」とのこと。+この申し出を受け入れますか？;폐하, 아직 남았습니다. 새로운 전쟁이 발발할 때마다, <barbare>(이)가 와서 도와주겠다고 합니다. 승낙하시겠습니까?;还没完呢。+未来每次战争开始时，+<barbare>都可能会来拜访你并提供帮助，我要同意吗？;還沒完呢。+未來每次戰爭開始時，+<barbare>都可能會來拜訪你並提供幫助，我要同意嗎？;Das war nicht alles. Immer wenn ein Krieg ausbricht, kann <barbare> kommen und Euch helfen. Einverstanden?;Я еще не закончил. Каждый раз, когда случится новая война, <barbare> может прийти вам на помощь. Мне принять это предложение?;Non ho finito. Ogni volta che scoppia una nuova guerra, <barbare> potrebbe accorrere in Vostro aiuto. Devo accettare?;Não terminei. Cada vez que uma guerra ocorrer, <barbare> pode vir visitá-lo para ajudar. Devo aceitar?;;;;;;;;;;;;;<i><diplomat> slapped <barbare> in the face, who laughed merrily. You spend the next days drinking before his departure.</i>;<i><diplomat> <barbare>'ın yüzüne tokat attı, o da şen bir şekilde güldü. Barbarın gidişinden önceki birkaç gün boyunca içiyorsunuz.</i>;<i><diplomat> gifle <barbare>, qui éclate de rire. Vous buvez gaiement pendant plusieurs jours, jusqu'à son départ.</i>;<i><diplomat> da una bofetada a <barbare>, el cual se parte de risa. Os pasáis el resto del tiempo hasta su partida bebiendo y bebiendo.</i>;<i><diplomat>は+<barbare>の顔をひっぱたいた。+野人は愉快そうに笑い、その後数日間、+王と酒を酌み交わしたのち、+城を発った。</i>;<i><diplomat>이(가) <barbare>의 얼굴을 치며 명쾌하게 웃었습니다. 당신은 야만인이 떠나기 전까지 계속 술을 마셨습니다.</i>;<i>（<diplomat> 扇了正开心笑着的<barbare>一耳光。+在他出发前的几天里，你终日饮酒。）</i>;<i>（<diplomat> 扇了正開心笑著的<barbare>一耳光。+在他出發前的幾天裏，你終日飲酒。）</i>;<i><diplomat> und <barbare> raufen lachend miteinander. In den nächsten Tagen zecht ihr heftig, dann reist er ab.</i>;<i><diplomat> отвесил <barbare> пощечину, но тот лишь весело рассмеялся. Следующие несколько дней до его отъезда вы провели вместе, выпивая.</i>;<i><diplomat> ha colpito sul volto <barbare>, che ha risposto con un'allegra risata. Trascorrete i giorni seguenti a bere, finché egli se ne va.</i>;<i><diplomat> deu um tapa no rosto de <barbare>, que riu alegremente. Você passou os dias seguintes bebendo até a partida dele.</i>;;;;;;;;;;;;;;;;;;;;;;;;;
822;barbare;Blougoum adomi.;Blougoum adomi.;Blougoum adomi.;Blougoum adomi.;ブロウゴウム、アドミ。;블로우고움 아도미.;布洛格姆 阿多米。;布洛格姆 阿多米。;Blougoum adomi.;Блоугоум адоми.;Blougoum adomi.;Blougoum adomi.;;Ben...;Je...;Yo...;あー…;;我……;我……;Ich ...;Я…;Io…;Eu...;;;;;;;;;;;;;<i>Convoke <diplomat></i>;<i><diplomat> çağır</i>;<i>Convoquer <diplomat></i>;<i>Convocar a <diplomat></i>;<i>（<diplomat>+を呼ぶ）</i>;<i><diplomat>을(를) 부른다</i>;<i>召开<diplomat></i>;<i>召開<diplomat></i>;<i><diplomat> rufen</i>;<i>Позвать <diplomat></i>;<i>Convocare <diplomat></i>;<i>Convocar <diplomat></i>;;;;;;;;;;;;;
823;diplomat;He offers to stop the war for... 30 horses. Bargain.;Savaşı durdurma karşılığında... 30 at istiyor. Sudan ucuz.;Il propose de mettre fin à la guerre en échange de... 30 chevaux. Une affaire.;Os propone acabar con la guerra a cambio de... 30 caballos. Una ganga.;「馬を30頭寄こせば、戦を終わらせてやろう。+取り引きだ」と申しております。+承諾いたしますか？;말 30마리에... 전쟁을 멈춰주겠다고 합니다. 나쁘지 않군요.;他主动提出用停战来换+……30匹马。讨价还价吧。;他主動提出用停戰來換+……30匹馬。討價還價吧。;Er bietet an, den Krieg zu beenden, für ... 30 Pferde. Ein Schnäppchenpreis.;Он предлагает прекратить войну за… 30 лошадей. Сделка.;Ha offerto di fermare la guerra per… 30 cavalli. Un baratto.;Ele se oferece a parar a guerra por... 30 cavalos. Bom negócio.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
824;barbare;Damo adomi.;Damo adomi.;Damo adomi.;Damo adomi.;ダモ、アドミ。;다모 아도미.;达莫 阿多米。;達莫 阿多米。;Damo adomi.;Дамо адоми.;Damo adomi.;Damo adomi.;;Ben...;Je...;Yo...;あー…;;我……;我……;Ich ...;Я…;Io…;Eu...;;;;;;;;;;;;;<i>Summon <diplomat></i>;<i><diplomat> çağır</i>;<i>Appeler <diplomat></i>;<i>Llamar a <diplomat></i>;<i>（<diplomat>+を呼びつける）</i>;<i><diplomat>을(를) 부른다</i>;<i>召集<diplomat></i>;<i>召集<diplomat></i>;<i><diplomat> rufen</i>;<i>Призвать <diplomat></i>;<i>Far venire <diplomat></i>;<i>Chamar <diplomat></i>;;;;;;;;;;;;;
825;diplomat;He's offering us to take part in a large cooperation between the major countries of the continent.;Kıtanın büyük ülkeleri arasındaki geniş bir iş birliğine katılmamızı istiyor.;Il nous propose de rejoindre un groupement des pays les plus importants du continent.;Os propone formar parte de un gran alianza entre los mayores países del continente.;「大陸の諸大国が参加する大規模な同盟に、+お前の国を加えてやってもよい」と+申しております。参加いたしますか？;그가 우리에게 대륙의 주요 국가 간의 거대한 협정에 함께할 것을 제안하고 있습니다.;他提出要参与这块大陆上两个主要国家间的合作。;他提出要參與這塊大陸上兩個主要國家間的合作。;Er bietet uns an, bei der Zusammenarbeit der wichtigsten Länder des Kontinents mitzuwirken.;Он предлагает нам вступить в крупный союз основных ведущих стран континента.;Ci offre di partecipare a un'ampia collaborazione tra i maggiori Paesi del continente.;Ele está nos convidando a participar de uma grande colaboração entre os principais países do continente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
826;foreign_princess;Sign a peace treaty with my country and we will guarantee 10 years of unenventful and boring prosperity.;Ülkemle barış antlaşması imzalayın, 10 yıl boyunca hiçbir şey olmayan, sıkıcı bir refah garanti edelim.;Signez un traité de paix avec mon pays et nous vous garantissons 10 années de prospérité tranquilles et monotones.;Sois un rey excelente. Firmad el tratado de paz con mi país y os garantizamos 10 años de prosperidad. Será una década tranquila y monótona.;陛下は、とても有能な君主でいらっしゃいます。+私の国と和平協定を結んでいただければ、+向こう10年、国が豊かになるとお約束します。+平穏で退屈な日々が続くことでしょう。;제 국가와 평화 조약을 맺어주시면 ,10년 간의 평화롭고 따분한 번영을 약속하겠습니다.;你是一个有能力的国王。+如果你愿意签署一个停战协议，+我们保证你未来十年可以繁荣发展。+一切马上会归于平静，甚至会有些无聊。;你是一個有能力的國王。+如果你願意簽署一個停戰協議，+我們保證你未來十年可以繁榮發展。+一切馬上會歸於平靜，甚至會有些無聊。;Ihr seid ein fähiger König. Unterzeichnet einen Friedensvertrag, und 10 Jahre Wohlstand folgen. Ereignislos und langweilig.;Подпишите мирный договор с моей страной, и мы гарантируем вам 10 лет мира и процветания. Это будет нудно и скучно.;Siete un Re capace. Se firmerete un trattato di pace con il mio Paese vi garantiremo 10 anni di prosperità.;Se assinar um tratado de paz com meu país, iremos lhe garantir 10 anos de prosperidade. Será monótono e entediante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
827;monk;It's like... nothing is happening! God be praised!;Sanki... hiçbir şey olmuyor! Tanrı'ya şükürler olsun!;On dirait... qu'il ne se passe rien ! Dieu soit loué !;Es como si dijeramos... ¡Aquí no pasa nada! ¡Alabado sea Dios!;陛下…今年は、なんの事件もございません！+きっと、神がお護りくださっているに違いない！;오오... 아무 일도 일어나지 않은 것 같군요! 하느님 덕분입니다! 하느님을 찬양합시다!;就像……什么都没有发生！+赞美神！;就像……什麼都沒有發生！+讚美神！;Es ist, als ... würde nichts geschehen! Gepriesen sei Gott!;Ну, вроде… ничего не происходит! Слава Богу!;È come se… non succedesse niente! Sia lodato il Signore!;Como se... nada estivesse acontecendo! Graças a Deus!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
828;monk;There is only good news this year. Your Kingdom is a paradise!;Bu yıl sadece mutlu haberler var. Krallığınız bir cennet!;Toutes les nouvelles sont bonnes, cette année. Votre royaume est un véritable paradis.;Este año no hay más que buenas noticias. Vuestro reino es un auténtico paraíso.;今年は、悪いことが何ひとつ起きません！+この国はまさに、地上の楽園です！;올해는 좋은 소식만 있습니다. 폐하의 왕국은 천국입니다!;今年全都是好消息。+您的王国简直像天堂一样！;今年全都是好消息。+您的王國簡直像天堂一樣！;Dieses Jahr gibt es nur gute Neuigkeiten. Euer Königreich ist ein Paradies!;В этом году у нас только добрые вести. Ваше королевство просто рай на земле!;Quest'anno ci sono solo buone notizie. Il Vostro regno è un paradiso!;Temos apenas boas notícias este ano. Seu reino é um paraíso!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
829;monk;So... we almost went to war with the East, but it didn't happen in the end.;Evet... Neredeyse Doğu'da savaşa başlıyorduk ama nihayetinde yaşanmadı.;Bon... Nous avons failli entrer en guerre avec l'Est, mais ça n'a finalement pas été le cas.;Bueno... Casi, casi nos metemos en una guerra con el Este, pero finalmente no ha ocurrido nada.;東方と戦になりかけましたが、+結局、何事も起きませんでした。;폐하... 동쪽 나라와 아슬아슬한 분쟁이 있었으나, 다행히 전쟁으로 이어지진 않았습니다.;所以……我们几乎跟东方开战了，+但是最后什么也没有发生。;所以……我們幾乎跟東方開戰了，+但是最後什麼也沒有發生。;Nun ... fast hätte es Krieg mit dem Osten gegeben, aber es ist doch nicht dazu gekommen.;Так… мы почти вступили в войну с Востоком, но в итоге этого не произошло.;Ecco… siamo quasi scesi in guerra con l'Est, ma alla fine non è accaduto.;Então... quase entramos em guerra com o leste, mas acabou não acontecendo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
830;anyone;Nothing, absolutely nothing is happening.;Hiçbir şey yok, resmen hiçbir şey.;Rien de rien, il ne se passe rien.;Nada de nada. No pasa nada.;特に何も起きておりません。+いたって平和です。;아무것도 아닙니다. 정말 아무 일도 일어나지 않았습니다.;没，什么事都没有。;沒，什麼事都沒有。;Nichts, absolut gar nichts passiert.;Ничего, вообще ничего не происходит.;Niente, non succede assolutamente niente.;Nada, absolutamente nada está acontecendo.;<i>Play games</i>;<i>Oyun oyna</i>;<i>Jouer à des jeux</i>;<i>Entretenerse con juegos</i>;<i>（ゲームをして遊ぶ）</i>;<i>게임을 한다</i>;<i>（进行游戏）</i>;<i>（進行遊戲）</i>;<i>Etwas spielen</i>;<i>Играть в игры</i>;<i>Intrattenersi con dei giochi</i>;<i>Distrair-se jogando</i>;;;;;;;;;;;;;<i>Escape</i>;<i>Kaç</i>;<i>S'enfuir</i>;<i>Huir</i>;<i>（逃げ出す）</i>;<i>탈출</i>;<i>逃走</i>;<i>逃走</i>;<i>Flucht ergreifen</i>;<i>Сбежать</i>;<i>Fuggire</i>;<i>Fugir</i>;;;;;;;;;;;;;
831;foreign_princess;It was painful, wasn't it? But don't worry, it's over now. ;Acı vericiydi, değil mi? Ama endişelenmeyin, artık bitti.;Ça n'a pas été très amusant, n'est-ce pas ? Maintenant, c'est fini.;Es un rollo, ¿no os parece? Ahora ya, se acabó.;耐えがたい苦痛でしたでしょう？+でも、ご安心ください。もう終わりです。;고통스러웠지요? 하지만 걱정 마세요. 이제 끝나니까요.;这很痛苦啊，不是么？+但是别担心，马上就要结束了。;這很痛苦啊，不是麼？+但是別擔心，馬上就要結束了。;Es war quälend, nicht wahr? Aber keine Sorge, jetzt ist es vorbei.;Было больно, не так ли? Но не волнуйся, сейчас все кончится.;È stato spiacevole, non è vero? Ma niente paura, è finita.;Foi doloroso, não foi? Mas não se preocupe, já passou.;What?;Ne?;Pardon ?;¿Disculpad?;なに…？;뭐라...?;什么？;什麼？;Was?;Что?;Cosa?;O quê?;;;;;;;;;;;;;What?;Ne?;Pardon ?;¿Perdón?;なに…？;뭐라...?;什么？;什麼？;Was?;Что?;Cosa?;O quê?;;;;;;;;;;;;;
832;end>dead_king_unknow;<i>You decide to slip out of the castle in the dead of night. What happened to you? A lot of mysterious adventures.</i>;<i>Gecenin bir yarısında kaleden sessizce sıvışmaya karar veriyorsunuz. Başınıza neler mi geldi? Bolca gizemli macera.</i>;<i>Vous vous glissez hors du château en pleine nuit et vivez beaucoup d'aventures mystérieuses.</i>;<i>Os escapáis del castillo en plena noche. Experimentáis cantidad de aventuras misteriosas.</i>;<i>王は、真夜中に城を抜け出した。+そして、のちに数々の不思議な冒険をしたという。</i>;<i>당신은 밤중에 성 밖으로 빠져 나가기로 결심했습니다. 무수한 모험이 당신을 기다리고 있습니다...</i>;<i>你觉得趁着夜里一片寂静的时候溜出城堡。+然后发生了什么？+一系列不可思议的冒险。</i>;<i>你覺得趁著夜裏一片寂靜的時候溜出城堡。+然後發生了什麼？+一系列不可思議的冒險。</i>;<i>Ihr entschließt Euch, mitten in der Nacht aus der Burg zu verschwinden. Was wird aus Euch? Ein Abenteurer.</i>;<i>Под покровом ночи вы решили выскользнуть из замка. Какие приключения ждали вас дальше? Тайна, покрытая мраком.</i>;<i>Decidete di sgattaiolare fuori dal castello nel cuore della notte. Cos'è accaduto? Tante avventure misteriose.</i>;<i>Você decide sair escondido do castelo no meio da noite. O que aconteceu? Muitas aventuras misteriosas.</i>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
833;werewolf;I opened a trendy tavern near the harbour. Will you graciously loan me some money?;Limanın yakınlarında son moda bir taverna açtım. Rica etsem bana biraz para borç verir misiniz?;J'ai ouvert une taverne très en vogue près du port. Pourriez-vous de me prêter de l'argent ?;Acabo de abrir una taberna de moda cerca del puerto. ¿Os importaría prestarme algo de dinero?;港のそばに、小粋な酒場を開きました。+陛下、資金を援助していただけますか？;폐하, 항구 근처에서 트랜디한 선술집을 개장했습니다. 죄송합니다만, 약간의 자금을 빌려주실 수 있나요?;我在港口附近开了家时髦的酒馆。+您可以仁慈地借我一些钱吗？;我在港口附近開了家時髦的酒館。+您可以仁慈地借我一些錢嗎？;Ich habe am Hafen eine angesagte Taverne eröffnet. Leiht Ihr mir gütigerweise etwas Geld?;Я открыл модненькую таверну недалеко от гавани. Не будете ли вы так добры одолжить мне немного денег?;Ho aperto una taverna alla moda vicino al porto. Vorreste cortesemente accordarmi un prestito?;Eu abri uma taberna descolada perto do porto. O senhor poderia gentilmente me emprestar algum dinheiro?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
834;priest;I heard about a new place of bestial perdition down in the harbour. We should close it.;Limanda yeni bir hayvani günah yuvası hakkında duyumlar aldım. Kapatmalıyız.;On m'a parlé d'un nouveau lieu de perdition, à côté du port. Nous devrions le faire fermer.;Me han hablado de un nuevo garito de perdición bestial, al lado del puerto. Deberíamos cerrarlo.;港に、ケダモノどもが集う、+けがらわしい店ができたとのこと。+ただちに営業を停止させるべきです。;항구 아래에 야만적인 가게가 나타났다는 소문을 들었습니다. 그곳을 처리해야 합니다.;我听说港口已经堕落成了一个兽性沦丧的地方。+我们应该关掉那家酒馆。;我聽說港口已經墮落成了一個獸性淪喪的地方。+我們應該關掉那家酒館。;Ich habe von einem neuen Ort bestialischer Verdammnis unten am Hafen gehört. Wir sollten ihn schließen.;Я слышал, возле гавани появился новый рассадник звериной заразы. Нужно закрыть это место.;Ho sentito parlare di un nuovo locale di bestiale perdizione giù al porto. Dovremmo farlo chiudere.;Ouvi rumores sobre um novo antro de perdição bestial na área portuária. Deveríamos fechá-lo.;;;;;;;;;;;;;<priest> almost dragged you to the tavern. It's full of loud noises and strange smells.;<priest> sizi tavernaya neredeyse sürükledi. Yüksek sesler ve tuhaf kokularla dolu.;<priest> vous traîne presque jusqu'à la taverne. Elle est bruyante et nauséabonde.;<priest> os arrastra hasta la taberna. Es un lugar ruidoso y nauseabundo.;<priest>は、+渋る王を引きずるようにして、+酒場へ向かった。+店内はとても騒がしく、+異様なにおいが充満していた。;<priest>은(는) 당신을 시끄러운 소리와 이상한 냄새가 가득한 술집으로 이끌었습니다.;<priest>几乎是拽着把你带进了酒馆。+这里异常嘈杂还充斥着古怪的气味。;<priest>幾乎是拽著把你帶進了酒館。+這裏異常嘈雜還充斥著古怪的氣味。;<priest> zerrt Euch fast in die Taverne. Sie ist laut und voller seltsamer Gerüche.;<priest> едва ли не силой затащил вас в таверну. В ней полно шума и странных запахов.;<priest> vi trascina alla taverna, un luogo rumoroso e puzzolente.;<priest> praticamente arrastou você para a taberna. Você ouve barulhos altos e sente cheiros estranhos.;Not so fast;Dur bakalım;Pas si vite;No tan deprisa;それはならぬ;서두르지 말게나;先别急;先別急;Nicht so schnell;Не так быстро;Non così in fretta;Espere aí;<priest> almost dragged you to the tavern. It's full of loud noises and strange smells.;<priest> sizi tavernaya neredeyse sürükledi. Yüksek sesler ve tuhaf kokularla dolu.;<priest> vous traîne presque jusqu'à la taverne. Elle est bruyante et nauséabonde.;<priest> os arrastra hasta la taberna. Es un lugar ruidoso y nauseabundo.;<priest>は、+渋る王を引きずるようにして、+酒場へ向かった。+店内はとても騒がしく、+異様なにおいが充満していた。;<priest>은(는) 당신을 시끄러운 소리와 이상한 냄새가 가득한 술집으로 이끌었습니다.;<priest>几乎是拽着把你带进了酒馆。+这里异常嘈杂还充斥着古怪的气味。;<priest>幾乎是拽著把你帶進了酒館。+這裏異常嘈雜還充斥著古怪的氣味。;<priest> zerrt Euch fast in die Taverne. Sie ist laut und voller seltsamer Gerüche.;<priest> едва ли не силой затащил вас в таверну. В ней полно шума и странных запахов.;<priest> vi trascina alla taverna, un luogo rumoroso e puzzolente.;<priest> praticamente arrastou você para a taberna. Você ouve barulhos altos e sente cheiros estranhos.;
